director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: apocalypse
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Action Crime Drama Thriller,the dark knight
John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger,Adventure Animation Comedy Family,up
Amy Poehler,Amy Poehler,Amy Poehler,Amy Poehler,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,iron man
Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Adventure Drama Family Mystery,hugo
Will Smith,Will Smith,Will Smith,Will Smith,Action Comedy Sci-Fi Western,wild wild west
Jet Li,Jet Li,Jet Li,Jet Li,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor
Will Smith,Will Smith,Will Smith,Will Smith,Action Adventure Comedy Sci-Fi,suicide squad
Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Comedy Family Fantasy,evan almighty
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Adventure Sci-Fi,edge of tomorrow
Jeanne Tripplehorn,Jeanne Tripplehorn,Jeanne Tripplehorn,Jeanne Tripplehorn,Action Adventure Sci-Fi Thriller,waterworld
Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra
Amy Poehler,Amy Poehler,Amy Poehler,Amy Poehler,Adventure Animation Comedy Drama Family Fantasy,inside out
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Adventure Drama Family Fantasy,the jungle book
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 2
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Drama Fantasy,snow white and the huntsman
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Action Adventure Family Fantasy Romance,maleficent
Gary Oldman,Gary Oldman,Gary Oldman,Gary Oldman,Action Adventure Drama Sci-Fi,dawn of the planet of the apes
Tamsin Egerton,Tamsin Egerton,Tamsin Egerton,Tamsin Egerton,Action Adventure Romance Sci-Fi,the lovers
Keanu Reeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,Action Adventure Drama Fantasy,47 ronin
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Action Adventure Sci-Fi,captain america: the winter soldier
Jon Hamm,Jon Hamm,Jon Hamm,Jon Hamm,Adventure Animation Comedy Family Fantasy,shrek forever after
Judy Greer,Judy Greer,Judy Greer,Judy Greer,Action Adventure Family Mystery Sci-Fi,tomorrowland
Damon Wayans Jr.,Damon Wayans Jr.,Damon Wayans Jr.,Damon Wayans Jr.,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6
Jack McBrayer,Jack McBrayer,Jack McBrayer,Jack McBrayer,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Adventure Animation Family Fantasy,the polar express
Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,Action Adventure Sci-Fi,independence day: resurgence
Gerard Butler,Gerard Butler,Gerard Butler,Gerard Butler,Adventure Animation Family Fantasy,how to train your dragon
Nick Stahl,Nick Stahl,Nick Stahl,Nick Stahl,Action Sci-Fi,terminator 3: rise of the machines
Bradley Cooper,Bradley Cooper,Bradley Cooper,Bradley Cooper,Action Adventure Sci-Fi,guardians of the galaxy
Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Adventure Drama Sci-Fi,interstellar
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Action Adventure Sci-Fi Thriller,inception
Mark Chinnery,Mark Chinnery,Mark Chinnery,Mark Chinnery,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
Aidan Turner,Aidan Turner,Aidan Turner,Aidan Turner,Adventure Fantasy,the hobbit: an unexpected journey
Paul Walker,Paul Walker,Paul Walker,Paul Walker,Action Crime Thriller,the fast and the furious
Brad Pitt,Brad Pitt,Brad Pitt,Brad Pitt,Drama Fantasy Romance,the curious case of benjamin button
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: first class
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Action Adventure Family Fantasy,the sorcerer's apprentice
Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Action Adventure Drama Thriller,poseidon
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Adventure Family Fantasy,alice through the looking glass
Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Adventure Animation Comedy Family Fantasy,shrek the third
Dominic Cooper,Dominic Cooper,Dominic Cooper,Dominic Cooper,Action Adventure Fantasy,warcraft
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Adventure Sci-Fi,terminator genisys
Bruce Spence,Bruce Spence,Bruce Spence,Bruce Spence,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader
Jennifer Garner,Jennifer Garner,Jennifer Garner,Jennifer Garner,Action Drama History Romance War,pearl harbor
Zack Ward,Zack Ward,Zack Ward,Zack Ward,Action Adventure Sci-Fi,transformers
Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Action Adventure Biography Drama History Romance War,alexander
Robert Pattinson,Robert Pattinson,Robert Pattinson,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix
Robert Pattinson,Robert Pattinson,Robert Pattinson,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the goblet of fire
Will Smith,Will Smith,Will Smith,Will Smith,Action Drama,hancock
Will Smith,Will Smith,Will Smith,Will Smith,Drama Horror Sci-Fi,i am legend
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Adventure Comedy Family Fantasy,charlie and the chocolate factory
Janeane Garofalo,Janeane Garofalo,Janeane Garofalo,Janeane Garofalo,Animation Comedy Family Fantasy,ratatouille
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Action Adventure,batman begins
Bernie Mac,Bernie Mac,Bernie Mac,Bernie Mac,Action Adventure Animation Comedy Family,madagascar: escape 2 africa
Robin Williams,Robin Williams,Robin Williams,Robin Williams,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine
Essie Davis,Essie Davis,Essie Davis,Essie Davis,Action Sci-Fi,the matrix revolutions
Josh Gad,Josh Gad,Josh Gad,Josh Gad,Adventure Animation Comedy Family Fantasy Musical,frozen
Steve Bastoni,Steve Bastoni,Steve Bastoni,Steve Bastoni,Action Sci-Fi,the matrix reloaded
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Fantasy,thor: the dark world
Tom Hardy,Tom Hardy,Tom Hardy,Tom Hardy,Action Adventure Sci-Fi Thriller,mad max: fury road
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Mystery Thriller,angels & demons
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Fantasy,thor
Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Adventure Animation Comedy Drama Family,bolt
Kelli Garner,Kelli Garner,Kelli Garner,Kelli Garner,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force
Liam Neeson,Liam Neeson,Liam Neeson,Liam Neeson,Action Adventure Fantasy,wrath of the titans
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Comedy Fantasy Horror,dark shadows
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Adventure Thriller,mission: impossible - rogue nation
Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Drama Fantasy Horror Thriller,the wolfman
Christoph Waltz,Christoph Waltz,Christoph Waltz,Christoph Waltz,Action Adventure Drama Romance,the legend of tarzan
Matthew Broderick,Matthew Broderick,Matthew Broderick,Matthew Broderick,Adventure Animation Comedy Family,bee movie
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,kung fu panda 2
Seychelle Gabriel,Seychelle Gabriel,Seychelle Gabriel,Seychelle Gabriel,Action Adventure Family Fantasy,the last airbender
Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Action Adventure Thriller,mission: impossible iii
Channing Tatum,Channing Tatum,Channing Tatum,Channing Tatum,Action Drama Thriller,white house down
Elisabeth Harnois,Elisabeth Harnois,Elisabeth Harnois,Elisabeth Harnois,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Adventure Animation Comedy Family,flushed away
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Adventure Family Fantasy,pan
Ty Burrell,Ty Burrell,Ty Burrell,Ty Burrell,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman
Brad Pitt,Brad Pitt,Brad Pitt,Brad Pitt,Adventure,troy
Jada Pinkett Smith,Jada Pinkett Smith,Jada Pinkett Smith,Jada Pinkett Smith,Adventure Animation Comedy Family,madagascar 3: europe's most wanted
Toby Stephens,Toby Stephens,Toby Stephens,Toby Stephens,Action Adventure Thriller,die another day
Ed Begley Jr.,Ed Begley Jr.,Ed Begley Jr.,Ed Begley Jr.,Action Comedy Fantasy Sci-Fi,ghostbusters
Bruce Willis,Bruce Willis,Bruce Willis,Bruce Willis,Action Adventure Sci-Fi Thriller,armageddon
Will Smith,Will Smith,Will Smith,Will Smith,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii
Robin Wright,Robin Wright,Robin Wright,Robin Wright,Action Adventure Animation Fantasy,beowulf
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Adventure Animation Comedy Family,kung fu panda 3
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Adventure Thriller,mission: impossible - ghost protocol
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Adventure Animation Family Fantasy,rise of the guardians
John Michael Higgins,John Michael Higgins,John Michael Higgins,John Michael Higgins,Comedy Crime,fun with dick and jane
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Drama History War,the last samurai
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Action Adventure Drama,exodus: gods and kings
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Sci-Fi,star trek
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Adventure Fantasy Romance,spider-man
Gerard Butler,Gerard Butler,Gerard Butler,Gerard Butler,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2
Gerard Butler,Gerard Butler,Gerard Butler,Gerard Butler,Action Adventure Fantasy,gods of egypt
Sam Shepard,Sam Shepard,Sam Shepard,Sam Shepard,Action Adventure Sci-Fi Thriller,stealth
Matt Frewer,Matt Frewer,Matt Frewer,Matt Frewer,Action Drama Mystery Sci-Fi,watchmen
Jet Li,Jet Li,Jet Li,Jet Li,Action Crime Thriller,lethal weapon 4
Kevin Rankin,Kevin Rankin,Kevin Rankin,Kevin Rankin,Action Sci-Fi,hulk
Channing Tatum,Channing Tatum,Channing Tatum,Channing Tatum,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation
Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Action Adventure Comedy Thriller,sahara
Steve Buscemi,Steve Buscemi,Steve Buscemi,Steve Buscemi,Action Adventure Animation Fantasy Romance Sci-Fi,final fantasy: the spirits within
Chris Evans,Chris Evans,Chris Evans,Chris Evans,Action Adventure Sci-Fi,captain america: the first avenger
Colin Salmon,Colin Salmon,Colin Salmon,Colin Salmon,Action Adventure Thriller,the world is not enough
James D'Arcy,James D'Arcy,James D'Arcy,James D'Arcy,Action Adventure Drama History War,master and commander: the far side of the world
Robert Pattinson,Robert Pattinson,Robert Pattinson,Robert Pattinson,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
Robin Williams,Robin Williams,Robin Williams,Robin Williams,Animation Comedy Family Musical,happy feet 2
Ty Burrell,Ty Burrell,Ty Burrell,Ty Burrell,Action Adventure Sci-Fi,the incredible hulk
Don Johnson,Don Johnson,Don Johnson,Don Johnson,Action Crime Drama Mystery Thriller,miami vice            
Mark Rylance,Mark Rylance,Mark Rylance,Mark Rylance,Adventure Family Fantasy,the bfg
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Adventure Drama Thriller Western,the revenant
Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Adventure Animation Comedy Family Sport,turbo
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Adventure Animation Comedy Family Western,rango
Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Adventure Animation Comedy Family,penguins of madagascar
Matt Damon,Matt Damon,Matt Damon,Matt Damon,Action Mystery Thriller,the bourne ultimatum
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,kung fu panda
Judy Greer,Judy Greer,Judy Greer,Judy Greer,Action Adventure Comedy Sci-Fi,ant-man
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Adventure Sci-Fi Thriller,the hunger games: catching fire
Robert Pattinson,Robert Pattinson,Robert Pattinson,Robert Pattinson,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
Jim Parsons,Jim Parsons,Jim Parsons,Jim Parsons,Adventure Animation Comedy Family Fantasy Sci-Fi,home
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Adventure Sci-Fi Thriller,war of the worlds
Will Smith,Will Smith,Will Smith,Will Smith,Action Comedy Crime Thriller,bad boys ii
Salma Hayek,Salma Hayek,Salma Hayek,Salma Hayek,Action Adventure Animation Comedy Family Fantasy,puss in boots
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Action Crime Mystery Thriller,salt
Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Action Adventure Drama,noah
Toby Jones,Toby Jones,Toby Jones,Toby Jones,Action Adventure Family Mystery,the adventures of tintin
Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Adventure Family Fantasy Mystery,harry potter and the prisoner of azkaban
Essie Davis,Essie Davis,Essie Davis,Essie Davis,Adventure Drama Romance War,australia
Will Smith,Will Smith,Will Smith,Will Smith,Action Adventure Sci-Fi,after earth
Alfre Woodard,Alfre Woodard,Alfre Woodard,Alfre Woodard,Adventure Animation Family Thriller,dinosaur
Rupert Grint,Rupert Grint,Rupert Grint,Rupert Grint,Action Fantasy,harry potter and the deathly hallows: part ii
Robin Williams,Robin Williams,Robin Williams,Robin Williams,Adventure Comedy Family Fantasy,night at the museum: secret of the tomb
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Animation Comedy Family Sci-Fi,megamind
Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Daniel Radcliffe,Adventure Family Fantasy,harry potter and the sorcerer's stone
Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Action Comedy Fantasy,r.i.p.d.
Mark Chinnery,Mark Chinnery,Mark Chinnery,Mark Chinnery,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: the curse of the black pearl
Rupert Grint,Rupert Grint,Rupert Grint,Rupert Grint,Fantasy,harry potter and the deathly hallows: part i
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Adventure Sci-Fi Thriller,the hunger games: mockingjay - part 1
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Mystery Thriller,the da vinci code
Miguel Ferrer,Miguel Ferrer,Miguel Ferrer,Miguel Ferrer,Adventure Animation Comedy Family Musical,rio 2
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men 2
Paul Walker,Paul Walker,Paul Walker,Paul Walker,Action Crime Thriller,fast five
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Crime Mystery Thriller,sherlock holmes: a game of shadows
Liam Neeson,Liam Neeson,Liam Neeson,Liam Neeson,Action Adventure Fantasy,clash of the titans
Ronny Cox,Ronny Cox,Ronny Cox,Ronny Cox,Action Sci-Fi,total recall
Tony Curran,Tony Curran,Tony Curran,Tony Curran,Action Adventure History,the 13th warrior
Jeremy Renner,Jeremy Renner,Jeremy Renner,Jeremy Renner,Action Adventure Thriller,the bourne legacy
Michael Gough,Michael Gough,Michael Gough,Michael Gough,Action,batman & robin
Clint Howard,Clint Howard,Clint Howard,Clint Howard,Comedy Family Fantasy,how the grinch stole christmas
Jake Gyllenhaal,Jake Gyllenhaal,Jake Gyllenhaal,Jake Gyllenhaal,Action Adventure Sci-Fi Thriller,the day after tomorrow
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Adventure Thriller,mission: impossible ii
Karen Allen,Karen Allen,Karen Allen,Karen Allen,Action Adventure Drama Thriller,the perfect storm
Chris Evans,Chris Evans,Chris Evans,Chris Evans,Action Adventure Sci-Fi Thriller,fantastic 4: rise of the silver surfer
Suraj Sharma,Suraj Sharma,Suraj Sharma,Suraj Sharma,Adventure Drama Fantasy,life of pi
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Action Fantasy Thriller,ghost rider
Matt Damon,Matt Damon,Matt Damon,Matt Damon,Action Thriller,jason bourne
Demi Moore,Demi Moore,Demi Moore,Demi Moore,Action Adventure Comedy Crime,charlie's angels: full throttle
Michael Fassbender,Michael Fassbender,Michael Fassbender,Michael Fassbender,Adventure Mystery Sci-Fi,prometheus
Nathan Lane,Nathan Lane,Nathan Lane,Nathan Lane,Adventure Animation Comedy Family Fantasy,stuart little 2
Matt Damon,Matt Damon,Matt Damon,Matt Damon,Action Drama Sci-Fi Thriller,elysium
Vin Diesel,Vin Diesel,Vin Diesel,Vin Diesel,Action Adventure Sci-Fi Thriller,the chronicles of riddick
Gary Oldman,Gary Oldman,Gary Oldman,Gary Oldman,Action Crime Sci-Fi Thriller,robocop
Scott Porter,Scott Porter,Scott Porter,Scott Porter,Action Family Sport,speed racer
Shelley Conn,Shelley Conn,Shelley Conn,Shelley Conn,Comedy Drama Romance,how do you know
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Comedy Romance,knight and day
Morgan Freeman,Morgan Freeman,Morgan Freeman,Morgan Freeman,Action Adventure Mystery Sci-Fi,oblivion
Natalie Portman,Natalie Portman,Natalie Portman,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode iii - revenge of the sith
Natalie Portman,Natalie Portman,Natalie Portman,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode ii - attack of the clones
Steve Buscemi,Steve Buscemi,Steve Buscemi,Steve Buscemi,Adventure Animation Comedy Family Fantasy,"monsters, inc."
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Action Adventure Sci-Fi Thriller,the wolverine
