director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
A.J. Buckley,A.J. Buckley,A.J. Buckley,A.J. Buckley,Adventure Animation Comedy Family Fantasy,the good dinosaur,A.J. Buckley A.J. Buckley A.J. Buckley A.J. Buckley Adventure Animation Comedy Family Fantasy
Kelly Macdonald,Kelly Macdonald,Kelly Macdonald,Kelly Macdonald,Adventure Animation Comedy Family Fantasy,brave,Kelly Macdonald Kelly Macdonald Kelly Macdonald Kelly Macdonald Adventure Animation Comedy Family Fantasy
Sofia Boutella,Sofia Boutella,Sofia Boutella,Sofia Boutella,Action Adventure Sci-Fi Thriller,star trek beyond,Sofia Boutella Sofia Boutella Sofia Boutella Sofia Boutella Action Adventure Sci-Fi Thriller
John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger,Adventure Animation Family Sci-Fi,wall·e,John Ratzenberger John Ratzenberger John Ratzenberger John Ratzenberger Adventure Animation Family Sci-Fi
Tzi Ma,Tzi Ma,Tzi Ma,Tzi Ma,Action Comedy Crime Thriller,rush hour 3,Tzi Ma Tzi Ma Tzi Ma Tzi Ma Action Comedy Crime Thriller
Oliver Platt,Oliver Platt,Oliver Platt,Oliver Platt,Action Adventure Sci-Fi,2012,Oliver Platt Oliver Platt Oliver Platt Oliver Platt Action Adventure Sci-Fi
Robin Wright,Robin Wright,Robin Wright,Robin Wright,Animation Drama Family Fantasy,a christmas carol,Robin Wright Robin Wright Robin Wright Robin Wright Animation Drama Family Fantasy
Channing Tatum,Channing Tatum,Channing Tatum,Channing Tatum,Action Adventure Sci-Fi,jupiter ascending,Channing Tatum Channing Tatum Channing Tatum Channing Tatum Action Adventure Sci-Fi
Jim Broadbent,Jim Broadbent,Jim Broadbent,Jim Broadbent,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",Jim Broadbent Jim Broadbent Jim Broadbent Jim Broadbent Adventure Family Fantasy
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: apocalypse,Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Action Adventure Sci-Fi
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Action Crime Drama Thriller,the dark knight,Christian Bale Christian Bale Christian Bale Christian Bale Action Crime Drama Thriller
John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger,Adventure Animation Comedy Family,up,John Ratzenberger John Ratzenberger John Ratzenberger John Ratzenberger Adventure Animation Comedy Family
Amy Poehler,Amy Poehler,Amy Poehler,Amy Poehler,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,Amy Poehler Amy Poehler Amy Poehler Amy Poehler Action Adventure Animation Comedy Family Sci-Fi
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,iron man,Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Action Adventure Sci-Fi
Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Adventure Drama Family Mystery,hugo,Chloë Grace Moretz Chloë Grace Moretz Chloë Grace Moretz Chloë Grace Moretz Adventure Drama Family Mystery
Will Smith,Will Smith,Will Smith,Will Smith,Action Comedy Sci-Fi Western,wild wild west,Will Smith Will Smith Will Smith Will Smith Action Comedy Sci-Fi Western
Jet Li,Jet Li,Jet Li,Jet Li,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,Jet Li Jet Li Jet Li Jet Li Action Adventure Fantasy Horror Thriller
Will Smith,Will Smith,Will Smith,Will Smith,Action Adventure Comedy Sci-Fi,suicide squad,Will Smith Will Smith Will Smith Will Smith Action Adventure Comedy Sci-Fi
Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Comedy Family Fantasy,evan almighty,Jimmy Bennett Jimmy Bennett Jimmy Bennett Jimmy Bennett Comedy Family Fantasy
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Adventure Sci-Fi,edge of tomorrow,Tom Cruise Tom Cruise Tom Cruise Tom Cruise Action Adventure Sci-Fi
Jeanne Tripplehorn,Jeanne Tripplehorn,Jeanne Tripplehorn,Jeanne Tripplehorn,Action Adventure Sci-Fi Thriller,waterworld,Jeanne Tripplehorn Jeanne Tripplehorn Jeanne Tripplehorn Jeanne Tripplehorn Action Adventure Sci-Fi Thriller
Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,Joseph Gordon-Levitt Joseph Gordon-Levitt Joseph Gordon-Levitt Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller
Amy Poehler,Amy Poehler,Amy Poehler,Amy Poehler,Adventure Animation Comedy Drama Family Fantasy,inside out,Amy Poehler Amy Poehler Amy Poehler Amy Poehler Adventure Animation Comedy Drama Family Fantasy
Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 2,Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Robert Downey Jr. Action Adventure Sci-Fi
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Drama Fantasy,snow white and the huntsman,Chris Hemsworth Chris Hemsworth Chris Hemsworth Chris Hemsworth Action Adventure Drama Fantasy
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Action Adventure Family Fantasy Romance,maleficent,Angelina Jolie Pitt Angelina Jolie Pitt Angelina Jolie Pitt Angelina Jolie Pitt Action Adventure Family Fantasy Romance
Gary Oldman,Gary Oldman,Gary Oldman,Gary Oldman,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,Gary Oldman Gary Oldman Gary Oldman Gary Oldman Action Adventure Drama Sci-Fi
Keanu Reeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,Action Adventure Drama Fantasy,47 ronin,Keanu Reeves Keanu Reeves Keanu Reeves Keanu Reeves Action Adventure Drama Fantasy
Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Action Adventure Sci-Fi,captain america: the winter soldier,Scarlett Johansson Scarlett Johansson Scarlett Johansson Scarlett Johansson Action Adventure Sci-Fi
Jon Hamm,Jon Hamm,Jon Hamm,Jon Hamm,Adventure Animation Comedy Family Fantasy,shrek forever after,Jon Hamm Jon Hamm Jon Hamm Jon Hamm Adventure Animation Comedy Family Fantasy
Judy Greer,Judy Greer,Judy Greer,Judy Greer,Action Adventure Family Mystery Sci-Fi,tomorrowland,Judy Greer Judy Greer Judy Greer Judy Greer Action Adventure Family Mystery Sci-Fi
Damon Wayans Jr.,Damon Wayans Jr.,Damon Wayans Jr.,Damon Wayans Jr.,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,Damon Wayans Jr. Damon Wayans Jr. Damon Wayans Jr. Damon Wayans Jr. Action Adventure Animation Comedy Drama Family Sci-Fi
Jack McBrayer,Jack McBrayer,Jack McBrayer,Jack McBrayer,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,Jack McBrayer Jack McBrayer Jack McBrayer Jack McBrayer Adventure Animation Comedy Family Sci-Fi
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Adventure Animation Family Fantasy,the polar express,Tom Hanks Tom Hanks Tom Hanks Tom Hanks Adventure Animation Family Fantasy
Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,Action Adventure Sci-Fi,independence day: resurgence,Vivica A. Fox Vivica A. Fox Vivica A. Fox Vivica A. Fox Action Adventure Sci-Fi
Gerard Butler,Gerard Butler,Gerard Butler,Gerard Butler,Adventure Animation Family Fantasy,how to train your dragon,Gerard Butler Gerard Butler Gerard Butler Gerard Butler Adventure Animation Family Fantasy
Nick Stahl,Nick Stahl,Nick Stahl,Nick Stahl,Action Sci-Fi,terminator 3: rise of the machines,Nick Stahl Nick Stahl Nick Stahl Nick Stahl Action Sci-Fi
Bradley Cooper,Bradley Cooper,Bradley Cooper,Bradley Cooper,Action Adventure Sci-Fi,guardians of the galaxy,Bradley Cooper Bradley Cooper Bradley Cooper Bradley Cooper Action Adventure Sci-Fi
Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Matthew McConaughey,Adventure Drama Sci-Fi,interstellar,Matthew McConaughey Matthew McConaughey Matthew McConaughey Matthew McConaughey Adventure Drama Sci-Fi
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio,Action Adventure Sci-Fi Thriller,inception,Leonardo DiCaprio Leonardo DiCaprio Leonardo DiCaprio Leonardo DiCaprio Action Adventure Sci-Fi Thriller
Aidan Turner,Aidan Turner,Aidan Turner,Aidan Turner,Adventure Fantasy,the hobbit: an unexpected journey,Aidan Turner Aidan Turner Aidan Turner Aidan Turner Adventure Fantasy
Brad Pitt,Brad Pitt,Brad Pitt,Brad Pitt,Drama Fantasy Romance,the curious case of benjamin button,Brad Pitt Brad Pitt Brad Pitt Brad Pitt Drama Fantasy Romance
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: first class,Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Action Adventure Sci-Fi
Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Jennifer Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2,Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Jennifer Lawrence Adventure Sci-Fi
Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Action Adventure Family Fantasy,the sorcerer's apprentice,Nicolas Cage Nicolas Cage Nicolas Cage Nicolas Cage Action Adventure Family Fantasy
Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Jimmy Bennett,Action Adventure Drama Thriller,poseidon,Jimmy Bennett Jimmy Bennett Jimmy Bennett Jimmy Bennett Action Adventure Drama Thriller
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Adventure Family Fantasy,alice through the looking glass,Johnny Depp Johnny Depp Johnny Depp Johnny Depp Adventure Family Fantasy
Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Adventure Animation Comedy Family Fantasy,shrek the third,Justin Timberlake Justin Timberlake Justin Timberlake Justin Timberlake Adventure Animation Comedy Family Fantasy
Dominic Cooper,Dominic Cooper,Dominic Cooper,Dominic Cooper,Action Adventure Fantasy,warcraft,Dominic Cooper Dominic Cooper Dominic Cooper Dominic Cooper Action Adventure Fantasy
J.K. Simmons,J.K. Simmons,J.K. Simmons,J.K. Simmons,Action Adventure Sci-Fi,terminator genisys,J.K. Simmons J.K. Simmons J.K. Simmons J.K. Simmons Action Adventure Sci-Fi
Bruce Spence,Bruce Spence,Bruce Spence,Bruce Spence,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,Bruce Spence Bruce Spence Bruce Spence Bruce Spence Adventure Family Fantasy
Jennifer Garner,Jennifer Garner,Jennifer Garner,Jennifer Garner,Action Drama History Romance War,pearl harbor,Jennifer Garner Jennifer Garner Jennifer Garner Jennifer Garner Action Drama History Romance War
Zack Ward,Zack Ward,Zack Ward,Zack Ward,Action Adventure Sci-Fi,transformers,Zack Ward Zack Ward Zack Ward Zack Ward Action Adventure Sci-Fi
Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Action Adventure Biography Drama History Romance War,alexander,Anthony Hopkins Anthony Hopkins Anthony Hopkins Anthony Hopkins Action Adventure Biography Drama History Romance War
Robert Pattinson,Robert Pattinson,Robert Pattinson,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,Robert Pattinson Robert Pattinson Robert Pattinson Robert Pattinson Adventure Family Fantasy Mystery
Robert Pattinson,Robert Pattinson,Robert Pattinson,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,Robert Pattinson Robert Pattinson Robert Pattinson Robert Pattinson Adventure Family Fantasy Mystery
Will Smith,Will Smith,Will Smith,Will Smith,Action Drama,hancock,Will Smith Will Smith Will Smith Will Smith Action Drama
Will Smith,Will Smith,Will Smith,Will Smith,Drama Horror Sci-Fi,i am legend,Will Smith Will Smith Will Smith Will Smith Drama Horror Sci-Fi
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Adventure Comedy Family Fantasy,charlie and the chocolate factory,Johnny Depp Johnny Depp Johnny Depp Johnny Depp Adventure Comedy Family Fantasy
Janeane Garofalo,Janeane Garofalo,Janeane Garofalo,Janeane Garofalo,Animation Comedy Family Fantasy,ratatouille,Janeane Garofalo Janeane Garofalo Janeane Garofalo Janeane Garofalo Animation Comedy Family Fantasy
Christian Bale,Christian Bale,Christian Bale,Christian Bale,Action Adventure,batman begins,Christian Bale Christian Bale Christian Bale Christian Bale Action Adventure
Bernie Mac,Bernie Mac,Bernie Mac,Bernie Mac,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,Bernie Mac Bernie Mac Bernie Mac Bernie Mac Action Adventure Animation Comedy Family
Robin Williams,Robin Williams,Robin Williams,Robin Williams,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,Robin Williams Robin Williams Robin Williams Robin Williams Adventure Comedy Family Fantasy
Hugh Jackman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Hugh Jackman Hugh Jackman Hugh Jackman Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
Essie Davis,Essie Davis,Essie Davis,Essie Davis,Action Sci-Fi,the matrix revolutions,Essie Davis Essie Davis Essie Davis Essie Davis Action Sci-Fi
Josh Gad,Josh Gad,Josh Gad,Josh Gad,Adventure Animation Comedy Family Fantasy Musical,frozen,Josh Gad Josh Gad Josh Gad Josh Gad Adventure Animation Comedy Family Fantasy Musical
Steve Bastoni,Steve Bastoni,Steve Bastoni,Steve Bastoni,Action Sci-Fi,the matrix reloaded,Steve Bastoni Steve Bastoni Steve Bastoni Steve Bastoni Action Sci-Fi
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Fantasy,thor: the dark world,Chris Hemsworth Chris Hemsworth Chris Hemsworth Chris Hemsworth Action Adventure Fantasy
Tom Hardy,Tom Hardy,Tom Hardy,Tom Hardy,Action Adventure Sci-Fi Thriller,mad max: fury road,Tom Hardy Tom Hardy Tom Hardy Tom Hardy Action Adventure Sci-Fi Thriller
Tom Hanks,Tom Hanks,Tom Hanks,Tom Hanks,Mystery Thriller,angels & demons,Tom Hanks Tom Hanks Tom Hanks Tom Hanks Mystery Thriller
Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Action Adventure Fantasy,thor,Chris Hemsworth Chris Hemsworth Chris Hemsworth Chris Hemsworth Action Adventure Fantasy
Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Chloë Grace Moretz,Adventure Animation Comedy Drama Family,bolt,Chloë Grace Moretz Chloë Grace Moretz Chloë Grace Moretz Chloë Grace Moretz Adventure Animation Comedy Drama Family
Kelli Garner,Kelli Garner,Kelli Garner,Kelli Garner,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,Kelli Garner Kelli Garner Kelli Garner Kelli Garner Action Adventure Animation Comedy Family Fantasy Sci-Fi
Liam Neeson,Liam Neeson,Liam Neeson,Liam Neeson,Action Adventure Fantasy,wrath of the titans,Liam Neeson Liam Neeson Liam Neeson Liam Neeson Action Adventure Fantasy
Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Comedy Fantasy Horror,dark shadows,Johnny Depp Johnny Depp Johnny Depp Johnny Depp Comedy Fantasy Horror
Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Action Adventure Thriller,mission: impossible - rogue nation,Tom Cruise Tom Cruise Tom Cruise Tom Cruise Action Adventure Thriller
Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Drama Fantasy Horror Thriller,the wolfman,Anthony Hopkins Anthony Hopkins Anthony Hopkins Anthony Hopkins Drama Fantasy Horror Thriller
Christoph Waltz,Christoph Waltz,Christoph Waltz,Christoph Waltz,Action Adventure Drama Romance,the legend of tarzan,Christoph Waltz Christoph Waltz Christoph Waltz Christoph Waltz Action Adventure Drama Romance
Matthew Broderick,Matthew Broderick,Matthew Broderick,Matthew Broderick,Adventure Animation Comedy Family,bee movie,Matthew Broderick Matthew Broderick Matthew Broderick Matthew Broderick Adventure Animation Comedy Family
Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,kung fu panda 2,Angelina Jolie Pitt Angelina Jolie Pitt Angelina Jolie Pitt Angelina Jolie Pitt Action Adventure Animation Comedy Family
Seychelle Gabriel,Seychelle Gabriel,Seychelle Gabriel,Seychelle Gabriel,Action Adventure Family Fantasy,the last airbender,Seychelle Gabriel Seychelle Gabriel Seychelle Gabriel Seychelle Gabriel Action Adventure Family Fantasy
Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Action Adventure Thriller,mission: impossible iii,Philip Seymour Hoffman Philip Seymour Hoffman Philip Seymour Hoffman Philip Seymour Hoffman Action Adventure Thriller
Channing Tatum,Channing Tatum,Channing Tatum,Channing Tatum,Action Drama Thriller,white house down,Channing Tatum Channing Tatum Channing Tatum Channing Tatum Action Drama Thriller
Elisabeth Harnois,Elisabeth Harnois,Elisabeth Harnois,Elisabeth Harnois,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,Elisabeth Harnois Elisabeth Harnois Elisabeth Harnois Elisabeth Harnois Action Adventure Animation Comedy Family Sci-Fi
